Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
0,1976-01-01,1,1976,,,Thin-Film Technologies,Amorphous Si:H (stabilized),Heterojunction (adj for total area),RCA,0.6,,0.6,,0.2,,0.273,6.0,,0.28,1.0,,,"Note: Check is inconsistent, but left for historical purposes"
1,1976-01-01,1,1976,,,Thin-Film Technologies,CdTe,CdS/CdTe (70 mW/cm2) [NASA],Matsushita,8.7,,8.873999999999999,,0.9,,0.75,14.0,,0.58,1.0,,,"Note: Check is inconsistent, but left for historical purposes"
2,1976-08-01,8,1976,,,Thin-Film Technologies,CIGS,CdS/CuInSe2/Au-Zn (AM1 NASA),University of Maine,5.7,,5.757000000000001,,1.2,,0.44,25.1,,0.52,1.0,,,
3,1977-02-01,2,1977,,,Single-Junction GaAs,Single crystal,Measured under 93.9 mW/cm2 AM1 at NASA,IBM/ TJ Watson Research Center,21.9,,22.228499999999997,,,,0.976,27.8,,0.76,,NASA,,
4,1977-04-01,4,1977,,,Crystalline Si Cells,Single crystal (non-concentrator),EFG [NASA],Mobil Solar,13.8,,13.938,,1.01,,0.58,, ,0.753,1.0,Unknown,,
5,1977-05-01,5,1977,,,Thin-Film Technologies,CIGS,CdS/CuInSe2/Au-Zn (AM1 NASA),University of Maine,6.7,,6.767,,1.2,,0.485,25.5,,0.54,1.0,,,
6,1978-01-01,1,1978,,,Thin-Film Technologies,Amorphous Si:H (stabilized),"Glow-discharge a-Si:H, heterojunction (adj for total area)",RCA,1.2,,1.2,,0.25,,0.43,10.0,,0.28,1.0,,,
7,1978-02-01,2,1978,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1 [NASA] 100.3 mW/cm2,RCA,14.899999999999999,,15.049,,1.02,,0.6,34.7,,0.72,1.0,,,
8,1979-02-01,2,1979,,,Thin-Film Technologies,Amorphous Si:H (stabilized),"Glass-covered, p-i-n (adj for total area)",RCA,2.4,,2.4,,0.25,,0.58,10.5,,0.4,1.0,,,
9,1979-11-01,11,1979,,,Thin-Film Technologies,CdTe,CdS/CdHgTe (~4%Hg) [NASA],Monosolar,8.85,,9.027,,0.48,,0.73,17.6,,0.68,1.0,,,
10,1979-12-01,12,1979,,,Thin-Film Technologies,CIGS,CdS/CuInSe2 3-source deposition (NASA),Boeing,7.3999999999999995,,7.473999999999999,,1.02,,0.39,33.01,,0.58,1.0,,,
11,1980-01-01,1,1980,,,Crystalline Si Cells,Single crystal (non-concentrator),Back surface field p+-n-n+ AM1 [Sandia],Sandia National Laboratory,15.9,,16.059,,2,,0.59,31.1,,0.807,1.0,,,
12,1980-01-01,1,1980,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (adj for total area),RCA,3.1,,3.1,,1.45,,0.75,7.0,,0.586,1.0,,,
13,1980-05-01,5,1980,,,Thin-Film Technologies,CdTe,Au/CdTe/CdS/ITO/glass (90mW/cm2),Kodak,9.02,,9.2004,,,,0.74,17.7,,0.62,1.0,,,
14,1980-09-01,9,1980,,,Thin-Film Technologies,CIGS,CdS/CuInSe2 (AM1 100 mW/cm2),Boeing,9.53,,9.6253,,1.02,,0.396,39.0,,0.63,1.0,,,
15,1981-02-01,2,1981,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (adj for total area),RCA,3.37,,3.37,,1.6,,0.77,7.01,,0.58,1.0,,,
16,1981-03-01,3,1981,,,Thin-Film Technologies,CIGS,CdZnS/CuInSe2 (AM1 100mW/cm2),Boeing,10.01,,10.1101,,1.02,,0.398,39.3,,0.64,1.0,,,
17,1981-09-01,9,1981,,,Thin-Film Technologies,CdTe,Au/CdTe/CdS/ITO/glass (90mW/cm2),Kodak,10.5,,10.71,,,,0.75,19.37,,0.65,1.0,,,
18,1982-02-01,2,1982,,,Thin-Film Technologies,CIGS,CdZnS/CunSe2 (101.5 mW/cm2),Boeing,10.4,,10.504000000000001,,1,,0.4314,38.36,,0.625,1.0,,,
19,1982-03-01,3,1982,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (adj for total area),RCA,4.2,,4.2,,0.4,,0.5,15.0,,0.56,1.0,,,
20,1982-11-01,11,1982,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1 Monocrystalline,Westinghouse,16.5,,16.665,,1.004,,0.637,33.7,,0.762,1.0,,,
21,1982-12-01,12,1982,,,III-V Multijunction Cells,Concentrator,"AlGaAs-GaAs tandem (IEEE PVSC, 1981, pp. 21-26)",North Carolina State University,,,16.4,,,,,,,,,,,
22,1983-02-01,2,1983,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (adj for total area),RCA,5.5,,5.5,,0.02,,0.803,12.0,,0.38,1.0,,,"Note: Check is inconsistent, but left for historical purposes"
23,1983-05-01,5,1983,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1 Monocrystalline,ARCO,18.2,,18.381999999999998,,1,,0.635,35.5,,0.808,1.0,,,
24,1983-07-01,7,1983,,,Thin-Film Technologies,CdTe,Au/CdTe/CdS/ITO/glass (90mW/cm2),Kodak,11.0,,11.22,,,,0.75,19.84,,0.667,1.0,,,
25,1983-10-28,10,1983,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1 MINP ,UNSW,18.7,,18.887,,4.01,,0.6411,35.48,,0.822,1.0,,,
26,1983-12-22,12,1983,,,Crystalline Si Cells,Single crystal (non-concentrator),"AM, MINP",UNSW,19.07,,19.2607,,4.068,,0.6526,36.01,,0.8114,1.0,,,
27,1984-01-01,1,1984,,,Crystalline Si Cells,Multicrystalline,Semicrystalline cast [Sandia],Solarex,15.0,,15.15,,4,,0.6,34.1,,0.71,1.0,,,
28,1984-02-01,2,1984,,,Thin-Film Technologies,CdTe,Au/CdTe/CdS/ITO/glass (90mW/cm2),Kodak,11.15,,11.373000000000001,,,,,,,,,,,
29,1984-11-01,11,1984,,,Thin-Film Technologies,CIGS,CdZnS/CuInSe2,Boeing,10.8,,10.908000000000001,,1.074,,0.441,39.08,39.08,0.628,1.0,,,
30,1985-02-01,2,1985,,,Crystalline Si Cells,Multicrystalline,Semicrystalline cast [Sandia],Solarex,15.6,,15.756,,4,,0.595,35.6,,0.73,1.0,,,
31,1985-04-01,4,1985,,,Crystalline Si Cells,Single crystal (non-concentrator),Conventional p-n cell,Spire,19.509999999999998,,19.705099999999998,,4.02,,0.639,36.89,,0.828,1.0,,,
32,1985-05-21,5,1985,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1,UNSW,19.8,,19.998,,3.99,,0.6491,37.04,,0.8217,1.0,,,
33,1985-09-01,9,1985,,,Crystalline Si Cells,Single crystal (non-concentrator),Conventional p-n cell (not a record),Spire,18.8,,18.988,,4.02,,0.634,36.3,,0.816,1.0,,,
34,1985-10-15,10,1985,,,Crystalline Si Cells,Single crystal (non-concentrator),,UNSW,20.0,,20.2,,4.02,,0.6609,37.21,,0.8151,1.0,,,
35,1985-12-11,12,1985,,,Crystalline Si Cells,Single crystal (non-concentrator),,UNSW,20.1,,20.301000000000002,,4.01,,0.6597,37.3,,0.8158,1.0,,,
36,1986-02-01,2,1986,,,Thin-Film Technologies,Amorphous Si:H (stabilized),(stabilized; initial efficiency 11.9%) 2-junction,Solarex,7.5,,7.5,,0.758,,1.0,10.74,,0.7,1.0,,,
37,1986-02-01,2,1986,,,Thin-Film Technologies,CIGS,"ZnO/(Cd,Zn)S/CuIn(S,Se)2",ARCO,11.450000000000001,,11.5645,,2.4,,0.458,38.3,,0.653,1.0,,,
38,1986-02-01,2,1986,,,Thin-Film Technologies,CIGS,"ZnO/(Cd,Zn)S/CuIn(S,Se)2",ARCO,11.450000000000001,,11.5645,,2.4,,0.458,38.3,,0.653,1.0,,,
39,1986-02-07,2,1986,,,Crystalline Si Cells,Single crystal (non-concentrator),ASTM-85,UNSW,20.4,,20.604,,4.02,,0.6631,36.95,,0.8332,1.0,,,
40,1986-06-15,6,1986,,,Crystalline Si Cells,Single crystal (non-concentrator),PESC ,UNSW,20.5,,20.705000000000002,,1.01,,0.665,36.8,,0.836,1.0,,,
41,1986-07-30,7,1986,,,Crystalline Si Cells,Single crystal (non-concentrator),ASTM-86,UNSW,20.599999999999998,,20.805999999999997,,4.006,,0.6655,37.22,,0.8318,1.0,,,
42,1986-08-01,8,1986,,,Crystalline Si Cells,Single crystal (concentrator),Si - laser grooved,UNSW,18.9,,19.089,,46.9,,0.621,38.69936034115139,,0.786,1.0,,,
43,1987-04-01,4,1987,1,1,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si thin film,Solarex,11.5,,11.5,,1.08,ap,0.879,18.8,,0.701,1.0,NREL,,"Listed in PIP, but is higher than other cells described this way at that time."
44,1987-05-01,5,1987,1,3,Crystalline Si Cells,Single crystal (concentrator), ,Stanford,26.5,,26.765,,0.15,da,,,,,140.0,Sandia,,
45,1987-06-01,6,1987,,,Crystalline Si Cells,Single crystal (non-concentrator),Point Contact [Sandia],Stanford,21.9,,22.119,,0.152,,0.681,41.0,,0.784,1.0,,,
46,1988-02-01,2,1988,1,1,Thin-Film Technologies,(not on chart),a-Si/a-Si/a-SiGe,Energy Conversion Devices,12.4,,12.4,,0.27,t,2.541,7.0,,0.7,1.0,NREL,,
47,1988-09-20,9,1988,,,Crystalline Si Cells,Single crystal (non-concentrator),,Stanford,,,22.3,,8.525,da,0.7029,40.62,,0.779,,NREL,,
48,1988-03-01,3,1988,,,III-V Multijunction Cells,Concentrator,AlGaAs-GaAs tandem ,Varian,,,17.6,,,,,,,,,,,
49,1988-04-01,4,1988,1,3,Single-Junction GaAs,Concentrator,Prism cover,Varian,27.500000000000004,,27.9125,,0.126,da,,,,,205.0,Sandia,,
50,1988-06-01,6,1988,1,1,Thin-Film Technologies,(not on chart),a-Si/CIGS thin film 4 terminal,ARCO,14.6,,14.6,0.7000000000000001,2.4,ap,,,,,1.0,NREL,,
51,1988-06-01,6,1988,,,Thin-Film Technologies,CIGS,"ZnO/(Cd,Zn)S/CuIn(S,Se)2",ARCO,11.700000000000001,,11.817000000000002,,2.4,,0.464,38.5,,0.654,1.0,NREL,,
52,1988-08-01,8,1988,28,4,Single-Junction GaAs,Concentrator,ENTECH cover recalibrated,Varian,27.800000000000004,28.199999999999996,28.199999999999996,1.0,0.203,da,,,,,216.0,Sandia,,
53,1988-08-01,8,1988,28,4,Single-Junction GaAs,Concentrator,GaAs under very high concentration,Varian,26.200000000000003,26.6,26.6,1.0,0.203,da,,,,,1000.0,Sandia,,
54,1988-09-01,9,1988,1,3,Hybrid Tandems,III-V/Si ,GaAs/Si mech. Stack,Sandia National Laboratory,29.599999999999998,,29.599999999999998,,0.317,da,,,,,350.0,Sandia,,
55,1988-09-01,9,1988,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2",Boeing,12.5,,12.625,,0.987,,0.555,34.2,,0.657,1.0,NREL,,
56,1988-10-01,10,1988,,,Thin-Film Technologies,CdTe,Glass/SnO2/CdS/CdTe,AMETEK,11.28,,11.5056,,1.068,,0.767,20.93,,0.697,1.0,NREL,,
57,1988-12-01,12,1988,1,1,Crystalline Si Cells,Thin-film crystal,,AstroPower,14.899999999999999,,15.049,,1.02,ap,0.6,31.4,,0.792,1.0,Sandia,,Measurements corrected  from originally measured  values due to Sandia recalibration  in January 1991
58,1989-01-01,1,1989,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (stablized),ARCO,9.7,,9.7,,3.969,,0.874,15.62,,,1.0,,,
59,1989-03-01,3,1989,1,1,III-V Multijunction Cells,Two-junction (non-concentrator),"GaAlAs/GaAs, monolithic",Varian,27.6,,27.6,,0.5,t,2.403,14.0,,0.834,1.0,NREL,,
61,1989-03-01,3,1989,1,1,Single-Junction GaAs,Single crystal,GaAs (Ge substrate) AlGaAs window,ASEC,24.3,,24.543,,4,t,1.035,27.6,,0.853,1.0,NREL,,
60,1989-03-01,3,1989,,,Single-Junction GaAs,Single crystal,GaAs with AlGaAs window,Varian,24.4,,24.644,,4,,1.045,27.6,,0.845,1.0,NREL,,
62,1989-05-01,5,1989,,,Thin-Film Technologies,CdTe,Glass/SnO2/CdS/CdTe,Photon Energy,12.3,,12.546000000000001,,0.313,,0.783,24.98,,0.672,1.0,NREL,,
63,1989-06-01,6,1989,,,III-V Multijunction Cells,Concentrator,AlGaAs-GaAs tandem 40x,Spire,,,24.1,,,,,,,,,,,
64,1989-08-01,8,1989,1,1,Crystalline Si Cells,Multicrystalline,UNSW PESC,UNSW,17.299999999999997,,17.473,,4.12,t,0.608,35.7,,0.797,1.0,NREL,,Version 1  of PIP tables contained errors and were corrected in Ver. 2. These are corrected values stated in Ver. 2
65,1989-08-01,8,1989,1,1,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInP/GaAs, monolithic",NREL,27.3,,27.3,,0.25,t,2.292,13.6,,0.875,1.0,NREL,,
66,1989-10-01,10,1989,1,3,III-V Multijunction Cells,Concentrator,"GaAs/GaSb, mech. Stack",Boeing,32.6,,32.6,,0.053,da,,,,,100.0,Sandia,,
67,1989-11-01,11,1989,1,1,Hybrid Tandems,III-V/CIS,GaAs/CIS thin film 4 terminal,Kopin/Boeing,25.8,,25.8,1.3,4,t,,,,,1.0,NREL,,
68,1989-12-01,12,1989,,,Single-Junction GaAs,Single crystal,GaAs/GaInP heterojunction,NREL,25.7,,25.957,,0.17,,1.05,29.0,,0.86,1.0,NREL,,
69,1990-02-01,2,1990,1,1,Crystalline Si Cells,Single crystal (concentrator),"PERL, crystalline",UNSW,23.1,,23.331000000000003,,4.03,ap,0.696,40.9,,0.81,1.0,Sandia,,Note that the original measurement was 24.2%; Measurements corrected  from originally measured  values due to Sandia recalibration  in January 1991
70,1990-03-01,3,1990,1,1,Single-Junction GaAs,Single crystal,GaAs (crystalline) AlGaAs window,Kopin,25.1,,25.351000000000003,0.8,3.91,t,1.022,28.2,,0.871,1.0,NREL,,
71,1990-04-01,4,1990,1,1,Single-Junction GaAs,Thin-film crystal,"GaAs (thin film), 5-µm CLEFT",Kopin,23.3,,23.533,0.7000000000000001,4,ap,1.011,27.6,,0.838,1.0,NREL,,
72,1990-04-01,4,1990,1,1,Single-Junction GaAs,Single crystal,"InP, (crystalline), epitaxial",Spire,21.9,22.1,22.1,0.7000000000000001,4.02,t,0.878,29.3,29.5,0.85,1.0,NREL,0.9961923076923076,
73,1990-05-01,5,1990,1,1,Crystalline Si Cells,Single crystal (non-concentrator),point contact,Stanford,21.6,,21.816000000000003,,37.5,da,0.698,39.5,,0.784,1.0,Sandia,,Measurements corrected  from originally measured  values due to Sandia recalibration  in January 1991; labeled as UNSW on static chart
74,1990-08-01,8,1990,1,3,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs, monolithic, 3-terminal",NREL,31.8,31.7,31.7,1.6,0.063,da,,,,,50.0,NREL,,Recalibrated from original measurement; Not measured at an external laboratory
75,1990-08-01,8,1990,1,3,III-V Multijunction Cells,Concentrator,InP/GaInAs monolithic 3 terminal,NREL,31.8,31.7,31.7,1.6,0.063,da,,,,,50.0,NREL,,
76,1990-09-01,9,1990,1,3,Crystalline Si Cells,Single crystal (concentrator),Laser grooved,UNSW,21.6,21.7,21.7,70.0,20,da,,,,,11.0,Sandia,,
77,1990-09-01,9,1990,1,3,Crystalline Si Cells,Single crystal (concentrator),PERL prism cover,UNSW,24.8,,25.048000000000002,,1.56,da,,,,,21.0,Sandia,,
78,1990-10-01,10,1990,1,3,III-V Multijunction Cells,Concentrator,"GaAs/GaInAsP, stacked, 4-terminal",NREL,30.2,,30.2,1.5,0.053,da,,,,,40.0,NREL,,
79,1991-02-01,2,1991,,,Emerging PV,Dye-sensitized cells,Nanocrystalline dye,EPFL,6.3,,6.4,,0.53,,0.711,15.0,,0.59,1.0,NREL,,
80,1991-02-01,2,1991,9,3,Single-Junction GaAs,Concentrator,GaInAsP ENTECH cover,NREL,27.500000000000004,,27.775000000000002,1.4000000000000001,0.075,da,,,,,171.0,NREL,,
81,1991-02-01,2,1991,9,3,Single-Junction GaAs,Concentrator,InP ENTECH cover,NREL,24.3,,24.543,1.2,0.075,da,,,,,99.0,NREL,,
82,1991-02-01,2,1991,9,3,Single-Junction GaAs,Concentrator,InP grown on GaAs substrate; ENTECH cover,NREL,21.0,,21.21,1.0999999999999999,0.075,ap,,,,,88.0,NREL,,
83,1991-03-01,3,1991,,,Thin-Film Technologies,CdTe,Glass/SnO2/CdS/CdTe/ZnTe/Ni,Photon Energy,12.7,,12.953999999999999,,0.3,,0.788,26.18,,0.641,1.0,NREL,,
84,1991-05-01,5,1991,5,3,Single-Junction GaAs,Concentrator,,Spire,27.6,,28.014,,0.126,da,,,,,255.0,Sandia,,
85,1991-05-01,5,1991,5,3,Single-Junction GaAs,Concentrator,GaAs (Si substrate),Spire,21.3,,21.6195,,0.126,da,,,,,237.0,Sandia,,
86,1991-05-24,5,1991,,,Thin-Film Technologies,CdTe,Glass/SnO2/CdS/CdTe/C/Ag,Univ. South Florida,13.4,,13.668000000000001,,1.197,,0.84,21.93,,0.726,1.0,NREL,,
87,1991-08-01,8,1991,,,Thin-Film Technologies,CIGS,,Boeing,,13.15,13.15,,0.979,,0.518,,34.72,0.7307,1.0,NREL,0.9993619978707226,
88,1991-11-19,11,1991,,,Thin-Film Technologies,CdTe,MgF2/SnO2/CdS/CdTe/C/Ag,Univ. South Florida,14.6,,14.892,,1.08,,0.85,24.41,24.41,0.704,1.0,NREL,,
89,1992-01-01,1,1992,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized) 12.4% initial,United Solar,10.05,,10.05,,0.26,,2.041,7.3,,0.675,1.0,,,
90,1992-01-01,1,1992,1,1,Crystalline Si Cells,Multicrystalline,,Georgia Tech,17.7,,17.877,,1,ap,0.623,35.6,,0.792,1.0,NREL,,Version 1  of PIP tables contained errors and were corrected in Ver. 2. These are corrected values stated in Ver. 2
91,1992-01-01,1,1992,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,10.05,,10.05,,0.26,,2.041,7.3,,0.675,,,,
92,1992-04-01,4,1992,3,1,Thin-Film Technologies,Amorphous Si:H (stabilized),,Sanyo,12.7,,12.7,0.4,1,da,0.887,19.4,,0.741,1.0,JQA,,
93,1992-06-01,6,1992,,,Thin-Film Technologies,CdTe,MgF2/7059 glass/SnO2/CdS/CdTe/C/Ag,Univ. South Florida,15.7,,16.014,,1.047,,0.843,25.09,,0.745,1.0,NREL,,
94,1992-06-01,6,1992,1,1,Thin-Film Technologies,CdTe,CdTe CSVT thin film,South Florida,15.8,,16.116,,1.05,ap,0.843,25.1,,0.745,1.0,NREL,,Version 1  of PIP tables contained errors and were corrected in Ver. 2. These are corrected values stated in Ver. 2
95,1992-07-01,7,1992,1,1,Thin-Film Technologies,CIGS,"CIGS thin film, ZnO/CdS/Cu(In,Ga)Se2",Boeing,13.700000000000001,,13.837000000000002,,0.9895,ap,0.546,36.3,,0.684,1.0,NREL,,Typos in original PIP report have been fixed.
96,1992-08-01,8,1992,2,1,Thin-Film Technologies,(not on chart),a-Si/a-SiGe monolithic,USSC/Cannon ,12.5,,12.5,,0.26,ap,1.621,11.7,,0.658,1.0,NREL,,
97,1992-11-01,11,1992,2,1,Crystalline Si Cells,Multicrystalline,Bayer wafer,DASA,16.400000000000002,,16.564000000000004,,98,t,0.622,33.4,,0.79,1.0,F-ISE,,
98,1992-12-01,12,1992,2,1,Thin-Film Technologies,(not on chart),a-Si/a-SiGe/a-SiGe monolithic,Sharp,12.4,,12.4,,1,da,2.289,7.9,,0.685,1.0,JMI,,
99,1993-02-01,2,1993,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized) 12.2% initial,United Solar,11.1,,11.1,,0.26,,2.21,7.44,,0.68,1.0,,,
100,1993-02-01,2,1993,3,3,Crystalline Si Cells,Single crystal (concentrator),Rear contact,SunPower,25.7,,25.957,,1.21,da,,,,,74.0,Sandia,,
101,1993-02-01,2,1993,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,, ,11.1,,0.26,,2.21,7.44,,0.68,,,,
102,1993-03-01,3,1993,3,1,Crystalline Si Cells,Multicrystalline,mech. Textured,Sharp,17.2,,17.372,0.3,100,t,0.61,36.4,,0.777,1.0,JQA,,
103,1993-03-01,3,1993,3,1,Crystalline Si Cells,Thin-film crystal,60 µm on SiO2,Mitsubishi,14.2,,14.341999999999999,,100,t,0.608,30.0,,0.781,1.0,JQA,,
104,1993-04-01,4,1993,2,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,21.6,,21.816000000000003,,45.7,ap,0.694,39.4,,0.781,1.0,Sandia,,Confirmed (mh)
105,1993-06-01,6,1993,3,1,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInP/GaAs, monolithic",NREL,29.5,,29.5,,0.25,t,2.385,14.0,,0.885,1.0,NREL,,
106,1993-06-01,6,1993,3,1,Thin-Film Technologies,CIGS,on glass,NREL,13.900000000000002,,14.039000000000001,,6.636,t,0.644,29.9,,0.722,1.0,NREL,,"Confirmed (mh), New Point"
107,1993-07-01,7,1993,3,3,III-V Multijunction Cells,Concentrator,"GaInP/GaAs, monolithic, 2-terminal",NREL,29.7,,29.7,,0.103,da,,,,,350.0,Sandia,,
108,1993-07-01,7,1993,,,Thin-Film Technologies,CIGS,"ZnO/(Cd,Zn)S/Cu(In,Ga)Se2/Mo",EuroCIS,,14.099999999999998,14.099999999999998,,1.003,,0.604,,34.3,0.679,1.0,NREL,0.9976580709219859,
109,1993-08-01,8,1993,,,Thin-Film Technologies,CIGS,EuroCIS CIGS/Glass,EuroCIS,,14.899999999999999,14.899999999999999,,0.502,,0.613,,33.62,0.725,1.0,NREL,1.002789832214765,
110,1993-09-01,9,1993,,,Thin-Film Technologies,CIGS,"MgF2/ZnO/CdS/Cu(In,Ga)Se2",NREL,,15,15.0,,0.422,,0.661,,29.75,0.764,1.0,NREL,1.0015912666666666,
111,1993-10-01,10,1993,,,Thin-Film Technologies,CIGS,"MgF2/ZnO/CdS/Cu(In,Ga)Se2",NREL,,15.9,15.9,,0.437,,0.649,,31.88,0.766,1.0,NREL,0.9967693031446541,
112,1994-01-01,1,1994,,,Thin-Film Technologies,CIGS,"MgF2/ZnO/CdS/Cu(In,Ga)Se2",NREL,,16.400000000000002,16.400000000000002,,0.418,,0.66,,31.53,0.787,1.0,NREL,0.9986166219512196,
113,1994-03-01,3,1994,4,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,23.5,,23.735,,4,ap,0.702,41.2,,0.812,1.0,Sandia,,
114,1994-03-01,3,1994,4,1,Crystalline Si Cells,Multicrystalline,,Georgia Tech,17.8,,17.978,,1,ap,0.628,36.2,,0.785,1.0,Sandia,,
115,1994-03-01,3,1994,4,3,III-V Multijunction Cells,Concentrator,GaInP/GaAs,NREL,30.2,,30.2,,0.103,da,,,,,180.0,Sandia,,
116,1994-03-01,3,1994,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,,,11.3,,0.26,,2.21,7.47,,0.684,,,,
117,1994-04-01,4,1994,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized) 12.9% initial,United Solar,11.27,,11.27,,0.27,,2.21,7.47,,0.684,1.0,,,
118,1994-04-01,4,1994,6,4,Crystalline Si Cells,Thin-film crystal,48-µm epi/thick substrate,"Max Planck Institute, Stuttgart",17.299999999999997,,17.473,,4,ap,0.655,32.5,,0.811,1.0,FhG-ISE,,
119,1994-04-01,4,1994,6,4,Thin-Film Technologies,CIGS,on glass,NREL,17.1,,17.271,,0.413,t,0.654,33.9,,0.771,1.0,NREL,,
120,1994-09-01,9,1994,5,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,24.0,,24.240000000000002,,4,ap,0.709,40.9,,0.827,1.0,Sandia,,
121,1994-09-01,9,1994,5,1,Crystalline Si Cells,Thin-film crystal,20-µm thick,ANU,17.0,,17.17,,4.02,ap,0.651,32.6,,0.803,1.0,Sandia,,
122,1994-10-01,10,1994,,,Thin-Film Technologies,CIGS,CIGS/Glass,NREL,,17.1,17.1,,0.413,,0.654,,33.9,0.771,1.0,,0.9996217894736841,Not confirmed in V6 PIP. V5 PIP repeats Eff from V3 PIP (8/93) (mh)
123,1994-11-01,11,1994,6,1,Thin-Film Technologies,CIGS,on glass,NREL,16.400000000000002,,16.564000000000004,0.5,1.025,t,0.678,32.0,,0.758,1.0,NREL,,Confirmed (mh)
124,1994-12-01,12,1994,7,4,Emerging PV,Dye-sensitized cells,photoelectrochemical nanocrystalline dye,EPFL,7.3999999999999995,,7.5,,0.53,t,0.808,12.5,,0.73,1.0,FhG-ISE,,
125,1995-02-01,2,1995,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,11.5,,11.5,,0.26,,2.23,7.49,,0.69,1.0,,,
126,1995-02-01,2,1995,8,4,Emerging PV,Dye-sensitized cells,photoelectrochemical nanocrystalline dye,EPFL,8.5,,8.6,,0.53,t,0.808,12.5,,0.73,1.0,NREL,,
127,1995-02-01,2,1995,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,,,11.5,,0.26,,2.23,7.49,,0.69,,,,
128,1995-04-01,4,1995,,,Thin-Film Technologies,CIGS,CIGS/Glass,NREL,,17.599999999999998,17.599999999999998,,0.433,,0.6536,,33.93,0.77,1.0,,0.9702283500000001,
129,1995-05-01,5,1995,8,4,Crystalline Si Cells,Thin-film crystal,CVD/CZ substrate,UNSW,17.599999999999998,,17.775999999999996,,4,ap,0.661,32.8,,0.814,1.0,Sandia,,
130,1995-05-01,5,1995,7,4,Crystalline Si Cells,Thin-film crystal,LPE/FZ substrate (48 µm),ANU,18.099999999999998,,18.281,,4.04,ap,0.666,35.0,,0.875,1.0,Sandia,,The check column indicates a discrepancy and the FF appears to be higher than is physical
131,1995-08-01,8,1995,7,1,Crystalline Si Cells,Thin-film crystal,47-µm thick,UNSW,21.5,,21.715,0.5,4.044,ap,0.699,37.9,,0.811,1.0,Sandia,,
132,1995-10-01,10,1995,7,3,Crystalline Si Cells,Single crystal (concentrator),back-contact,SunPower,26.8,,27.068,,1.6,ap,,,,,96.0,FhG-ISE,,
133,1995-11-01,11,1995,9,1,Single-Junction GaAs,Single crystal,GaAs (Ge substrate) multicrystalline,RTI,18.2,18.4,18.4,0.5,4.011,t,0.994,23.0,23.2,0.797,1.0,NREL,0.9988835652173915,
134,1995-12-01,12,1995,7,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,23.200000000000003,,23.432000000000002,,22.13,da,0.702,41.5,,0.798,1.0,Sandia,,
135,1995-12-01,12,1995,8,1,Crystalline Si Cells,Multicrystalline,Heat exchanger method,Georgia Tech,18.6,,18.786,0.6,1,ap,0.636,36.5,,0.804,1.0,NREL,,
136,1996-03-01,3,1996,,,Thin-Film Technologies,CIGS,"MgF2/ZnO/CdS/Cu(In,Ga)Se2 ;  ASTM E 892-87 spectrum",NREL,,17.7,17.7,,0.41,,0.674,,34,0.773,1.0,,1.0007948022598872,
