Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
451,2018-05-01,5,2018,52,3,Hybrid Tandems,III-V/Si ,"GaAsP/Si, monolithic, 2-term",OSU/SolAero/UNSW,,20.1,20.1,1.3,3.94,ap,1.673,,14.94,0.803,1.0,NREL,0.9985412865671642,
452,2018-05-18,5,2018,,,Emerging PV,Perovskite cells,"thin film, Pb-halide","ISCAS, Beijing",,,23.3,,0.074,,1.791,,25.24,0.784,1.0,Newport,,
453,2018-06-01,6,2018,53,3,Hybrid Tandems,Perovskite/Si,"Pervoskite/Si, monolithic, 2-term",Oxford PV,,27.3,27.3,0.8,1.09,da,1.813,,19.99,0.754,1.0,FhG-ISE,1.0009659333333332,Initial efficiency.
454,2018-06-18,6,2018,,,Emerging PV,Organic tandem cells,,UCLA,,,11.5,,0.06,,1.56,,10.07,,1.0,NREL,,
455,2018-06-18,6,2018,,,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,,28.9,,,,1.126,29.53,,0.868,1.0,NREL,,
456,2018-09-01,9,2018,53,2,Emerging PV,Perovskite cells,"thin film, Pb-halide","ISCAS, Beijing",,23.7,23.7,0.8,0.0739,ap,1.1697,,25.4,0.798,1.0,Newport,1.0003748202531646,Stability not investigated
457,2018-10-01,10,2018,53,3,Hybrid Tandems,III-V/Si ,"GaInP/GaAs/Si, monolithic, metamorphic, direct growth, 2-term",Fraunhofer ISE,,22.3,22.3,0.8,0.994,ap,2.619,,10,0.85,1.0,FhG-ISE,0.998273542600897,Not measured at external laboratory
458,2018-10-01,10,2018,53,5,Single-Junction GaAs,Concentrator,GaAs,NREL,,30.5,30.5,1.0,0.10043,da,,,,,258.0,NREL,,
459,2018-10-01,10,2018,53,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,29.1,29.1,0.6,0.998,ap,1.1272,,29.78,0.867,1.0,FhG-ISE,1.0001192395876288,
460,2018-10-01,10,2018,53,2,Emerging PV,CZTSSe cells,"thin film, Cu2ZnSnS4-ySey","DGIST, Korea",,12.6,12.6,0.3,0.4804,da,0.5411,,35.39,0.659,1.0,Newport,1.001550762777778,
461,2018-10-01,10,2018,53,1,Emerging PV,CZTSSe cells,Cu2ZnSnSxSe4-x,"DGIST, Korea",,11.3,11.3,0.3,1.1761,da,0.5333,,33.57,0.63,1.0,Newport,0.9981252238938053,
462,2018-11-01,11,2018,53,2,Emerging PV,Organic cells,thin film,Sth China U. - Central Sth U.,,15.6,15.6,0.2,0.4113,da,0.83831,,25.03,0.745,1.0,NREL,1.0020679473397436,Long-term stability not investigated
463,2018-11-01,11,2018,54,1,Thin-Film Technologies,CIGS,"CIGS, Cd-free",Solar Frontier,,23.35,23.35,0.5,1.043,da,0.734,,39.58,0.804,1.0,AIST,1.000324748608137,
464,2018-11-17,11,2018,52,3,Hybrid Tandems,Perovskite/CIGS,"Perovskite/CIGS, 2-term",UCLA,,22.4,22.4,1.9,0.042,da,1.774,,17.3,0.731,1.0,NREL,1.0015417946428573,Initial efficiency. Han and Yang and You review the stability of similar perovskite‐based devices.
465,2018-11-18,11,2018,,,Emerging PV,Quantum dot cells,mixed caesium and formamidinium lead triiodide perovskite system (Cs1−xFAxPbI3),U. Queensland,,16.55,16.55,,0.058,,1.168,,18.1,0.783,1.0,Newport,1.0001961570996978,
466,2018-12-01,12,2018,54,3,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic, 2-term",Oxford PV,,28,28.0,0.7,1.03,da,1.802,,19.75,0.787,1.0,NREL,1.0003191607142858,
467,2019-01-01,1,2019,54,2,Emerging PV,Perovskite cells,Perovskite (thin film),KRICT/MIT,,24.2,24.2,0.8,0.0955,ap,1.1948,,24.16,0.84,1.0,Newport,1.0019731041322315,
468,2019-01-01,1,2019,54,2,Single-Junction GaAs,Single crystal,"GaInP, rear HJ, strained AlInP",NREL,,22,22.0,0.3,0.2502,ap,1.4695,,16.63,0.902,1.0,NREL,1.001949185,
469,2019-03-01,3,2019,54,5,III-V Multijunction Cells,Three-junction or more (non-concentrator),AlGaInP/AlGaAs/GaAs/GaInAs (2.15/1.72/1.41/1.17/0.96/0.79 eV) 6j Inverted metamorphic,NREL,,,39.2,1.3,0.099,,5.55,,8.46,0.835,1.0,NREL,,
470,2019-03-01,3,2019,54,5,III-V Multijunction Cells,Concentrator,AlGaInP/AlGaAs/GaAs/GaInAs (2.15/1.72/1.41/1.17/0.96/0.79 eV) 6j Inverted metamorphic,NREL,,47.1,47.1,2.6,0.099,da,,,,,143.0,NREL,,
471,2019-03-19,3,2019,,,Emerging PV,Organic tandem cells,nonfullerene acceptors (NFAs) with series connection type,SCUT/eFlexPV,,,13.2,,0.041,,1.61,,11.22,0.73,1.0,NREL,,
472,2019-05-01,5,2019,54,2,Emerging PV,Organic cells,nection type,"SCUT, China",,16.4,16.4,0.2,0.04137,da,0.8468,,25.46,0.763,1.0,NREL,1.0030438941463418,
473,2019-05-01,5,2019,54,2,Emerging PV,Organic cells,Organic (thin film),"HKUST, Hong Kong",,16.4,16.4,0.4,0.0394,da,0.8621,,26.17,0.727,1.0,Newport,1.0001195816463415,
474,2019-06-01,6,2019,55,3,Hybrid Tandems,III-V/Si ,"GaInP/GaAs/Si (monolithic), 2-term",Fraunhofer ISE,,24.3,24.3,0.9,3.987,ap,2.662,,12.2,0.745,1.0,FhG-ISE,0.9956756378600822,
475,2019-06-01,6,2019,55,3,Hybrid Tandems,Perovskite/CIGS,"Perovskite/CIGS, 2-term",HZB,,23.3,23.3,0.8,1.035,da,1.683,,19.17,0.721,1.0,FhG-ISE,0.9983563223175967,
476,2019-06-01,6,2019,55,1,Emerging PV,Organic cells,Organic (cell),Uni Potsdam,,13.45,13.45,0.2,1.023,da,0.8422,,23.28,0.686,1.0,FhG-ISE,1.0000001023048328,
477,2019-06-01,6,2019,55,1,Emerging PV,Perovskite cells,Perovskite (cell),ANU,,21.6,21.6,0.6,1.0235,DA,1.193,,21.64,0.836,1.0,CSIRO,0.9991949407407406,
478,2019-06-27,6,2019,,,Emerging PV,Organic tandem cells,nonfullerene-acceptor-based organic solar cell,ICCAS,,,14.2,0.2,0.048,,1.5812,,12.446,,1.0,NREL,,
479,2019-07-01,7,2019,55,2,Emerging PV,Perovskite cells,Perovskite (thin film),KRICT/MIT (tied w/ Korea U),,25.2,25.2,0.8,0.0937,ap,1.1805,,24.14,0.848,1.0,Newport,0.9589557523809525,
480,2019-08-01,8,2019,55,3,Hybrid Tandems,III-V/Si ,"GaInP/AlGaAs/Si (wafer bonded), 2-term",Fraunhofer ISE,,34.1,34.1,1.2,3.987,ap,3.177,,12.4,0.864,1.0,FhG-ISE,0.9981556363636364,
481,2019-08-01,8,2019,55,2,Emerging PV,Dye-sensitized cells,Dye sensitized,EPFL,,12.25,12.25,0.4,0.0963,ap,1.0203,,15.17,0.791,1.0,Newport,0.9994334074285713,
482,2019-09-01,9,2019,55,1,Crystalline Si Cells,Single crystal (non-concentrator),n-type,Trina Solar,,23.2,23.2,0.3,247.79,t,0.7119,,41.14,0.793,1.0,ISFH,1.001079303362069,
483,2019-09-01,9,2019,55,2,Crystalline Si Cells,Single crystal (non-concentrator),p-type PERC,Canadian Solar,,22.8,22.8,0.3,246.7,t,0.6871,,40.9,0.812,1.0,ISFH,1.0008395035087718,
484,2019-09-01,9,2019,55,2,Crystalline Si Cells,Single crystal (non-concentrator),n-type top/rear contacts,Hanergy,,25.1,25.1,0.4,244.45,t,0.747,,39.55,0.85,1.0,ISFH,1.0004889442231075,
485,2019-09-17,9,2019,,,Crystalline Si Cells,Multicrystalline,p‐type PERC,Canadian Solar,,22.8,22.8,,,,,,,,1.0,FhG-ISE,0.0,
486,2019-10-01,10,2019,55,2,Emerging PV,Organic cells,Organic (thin film),SJTU/Umass,,17.35,17.35,0.2,0.032,da,0.862,,25.83,0.78,1.0,NREL,1.0009832161383283,
487,2019-11-01,11,2019,55,2,Crystalline Si Cells,Single crystal (non-concentrator),p-type top/rear contacts,FhG-ISE,,26,26.0,0.5,4.015,da,0.7323,,42.05,0.823,1.0,FhG-ISE,0.9747236901923075,
488,2019-12-01,12,2019,56,1,Crystalline Si Cells,Single crystal (non-concentrator),n-type,Canadian Solar,,23.8,23.8,0.3,246.44,t,0.7087,,40.88,0.822,1.0,ISFH,1.0006176988235294,
489,2019-12-01,12,2019,56,3,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,24.2,24.2,0.8,1.041,da,1.986,,15.93,0.766,1.0,JET,1.0014019289256197,
490,2020-01-01,1,2020,56,3,Hybrid Tandems,Perovskite/CIGS,"Perovskite/CIGS, 2-term",HZB,,24.2,24.2,0.7,1.045,da,1.768,,19.24,0.729,1.0,FhG-ISE,1.0247064991735537,
491,2020-01-01,1,2020,56,3,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic, 2-term",HZB,,29.15,29.15,0.7,1.06,da,1.897,,19.75,0.778,1.0,FhG-ISE,0.9999435162950259,
492,2020-01-01,1,2020,56,3,III-V Multijunction Cells,Two-junction (non-concentrator),GaInP/GaAs,NREL,,32.9,32.9,0.5,0.25,ap,2.5,,15.36,0.857,1.0,NREL,1.0002674772036475,
494,2020-07-28,7,2020,57,2,Emerging PV,Perovskite cells,Perovskite (cell),UNIST,,25.5,25.5,0.8,0.095,ap,1.189,,25.68,0.83,1.0,Newport,0.9938361411764706,
